name,categoryName,itemType,unit,unitCost,lowStockThreshold,description,brand,manufacturer
"Gauze Pads (4x4 sterile)",Medical Supplies,Consumable,box,150.50,50,"Sterile gauze pads for wound dressing.",MedPro,Global MedTech
"Syringes (10ml with needle)",Medical Supplies,Consumable,box,320.00,40,"10ml luer-lock syringes, box of 100.",HealthFirst,Global MedTech
"Alcohol Prep Pads",Medical Supplies,Consumable,box,85.25,80,"Individually wrapped alcohol pads, box of 200.",MedPro,PharmaUnited
"IV Catheter (22G)",Medical Supplies,Consumable,box,1250.00,30,"22 Gauge IV catheters, box of 50.",HealthFirst,Global MedTech
"Surgical Gloves (Size 7.5)",PPE,Consumable,box,450.75,50,"Sterile latex surgical gloves, size 7.5.",SecureWear,SafetyFirst Co.
"N95 Masks",PPE,Consumable,box,950.00,100,"Box of 20 N95 particulate respirators.",SecureWear,SafetyFirst Co.
"Face Shields",PPE,Consumable,pack,600.00,60,"Pack of 10 reusable face shields.",MedPro,SafetyFirst Co.
"Isolation Gown (Level 2)",PPE,Consumable,piece,75.00,100,"Level 2 disposable isolation gowns.",SecureWear,Global MedTech
"Paracetamol 500mg Tablets",Pharmaceuticals,Consumable,box,120.00,90,"Box of 100 paracetamol tablets.",HealthFirst,PharmaUnited
"Amoxicillin 250mg/5ml Suspension",Pharmaceuticals,Consumable,bottle,95.50,40,"60ml bottle of amoxicillin oral suspension.",PharmaBrand,PharmaUnited
"Salbutamol Nebules (2.5mg)",Pharmaceuticals,Consumable,box,275.00,50,"Box of 30 salbutamol nebules for inhalation.",HealthFirst,PharmaUnited
"Insulin Glargine Pen",Pharmaceuticals,Consumable,piece,850.00,20,"Prefilled insulin glargine pen.",PharmaBrand,PharmaUnited
"Hepatitis B Vaccine (Adult)",Vaccines,Consumable,vial,550.00,30,"Single-dose vial for adult Hepatitis B vaccination.",VaxSecure,BioChem Labs
"Tetanus Toxoid Vaccine",Vaccines,Consumable,vial,250.00,50,"Single-dose vial of Tetanus Toxoid.",VaxSecure,BioChem Labs
